host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,89.163.152.91,recidive,2,DE,unknown,unknown,51.000000,9.000000,2016-02-03 00:15:13
ns1,66.190.127.102,recidive,4,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-03 00:15:13
ns1,222.34.93.200,ssh,2,CN,Beijing,Beijing,39.928902,116.388298,2016-02-03 00:15:13
ns1,222.186.21.100,recidive,2,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-03 00:15:13
ns1,122.228.213.146,ssh,2,CN,Zhejiang,Hangzhou,30.293600,120.161400,2016-02-03 00:15:13
ns1,89.163.152.91,ssh,6,DE,unknown,unknown,51.000000,9.000000,2016-02-03 00:15:13
ns1,222.186.34.85,ssh,6,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-03 00:15:13
ns1,221.194.57.246,ssh,8,CN,Hebei,Hebei,39.889702,115.275002,2016-02-03 00:15:13
ns1,91.98.96.118,ssh,2,IR,Tehran,Pars,35.735500,51.529099,2016-02-03 00:15:14
ns1,222.122.192.217,ssh,2,KR,unknown,unknown,37.570000,126.980003,2016-02-03 00:15:14
ns1,95.56.234.110,ssh,2,KZ,Almaty City,Almaty,43.256500,76.928497,2016-02-03 00:15:14
ns1,82.236.164.192,ssh,2,FR,Champagne-Ardenne,Pierry,49.020199,3.940700,2016-02-03 00:15:14
ns1,222.186.21.100,ssh,9,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-03 00:15:14
ns1,117.4.241.129,ssh,2,VN,Ha Noi,Hanoi,21.033300,105.849998,2016-02-03 00:15:14
ns1,222.186.34.85,recidive,2,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-03 00:15:14
ns1,123.59.55.83,ssh,1,CN,Beijing,Beijing,39.928902,116.388298,2016-02-03 00:44:16
