host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,104.43.192.41,cgpro-sip-invite,2,US,Washington,Redmond,47.680099,-122.120598,2016-02-06 01:08:17
ns1,185.40.4.30,cgpro-sip-invite,5,RU,unknown,unknown,55.750000,37.616600,2016-02-06 01:09:04
ns1,202.46.3.25,ssh,1,ID,Jakarta Raya,Jakarta,-6.174400,106.829399,2016-02-06 01:14:53
ns1,66.190.127.102,cgpro-smtp,16,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-06 01:15:13
ns1,194.63.142.19,cgpro-sip-invite,5,RU,unknown,unknown,55.750000,37.616600,2016-02-06 01:15:16
ns1,199.168.137.195,cgpro-sip-invite,2,US,Pennsylvania,Clarks Summit,41.448601,-75.727997,2016-02-06 01:19:18
ns1,62.210.188.100,cgpro-sip-invite,2,FR,unknown,unknown,48.860001,2.350000,2016-02-06 01:22:14
ns1,81.30.156.126,cgpro-sip-100,2,DE,unknown,unknown,51.000000,9.000000,2016-02-06 01:24:46
ns1,93.115.28.168,cgpro-sip-100,2,RO,unknown,unknown,46.000000,25.000000,2016-02-06 01:29:17
ns1,66.190.127.102,cgpro-smtp,17,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-06 01:31:37
ns1,69.64.61.103,cgpro-sip-100,2,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-06 01:42:54
ns1,188.138.33.173,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-06 01:45:10
ns1,85.113.212.211,ssh,7,RU,Kostroma,Kostroma,57.770802,40.934399,2016-02-06 01:46:21
ns1,195.154.214.162,cgpro-sip-100,3,FR,unknown,unknown,48.860001,2.350000,2016-02-06 01:46:21
ns1,188.138.75.154,cgpro-sip-100,3,DE,unknown,unknown,51.000000,9.000000,2016-02-06 01:46:57
ns1,66.190.127.102,cgpro-smtp,18,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-06 01:48:01
