host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,222.186.34.85,ssh,1,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-02 00:02:08
ns1,183.3.202.108,recidive,2,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-02 00:15:12
ns1,183.105.20.181,ssh,2,KR,unknown,unknown,37.570000,126.980003,2016-02-02 00:15:12
ns1,66.194.155.194,recidive,2,US,Tennessee,Collierville,35.091099,-89.651001,2016-02-02 00:15:12
ns1,193.201.227.1,ssh,2,UA,unknown,unknown,50.450001,30.523300,2016-02-02 00:15:12
ns1,61.147.70.112,ssh,2,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-02 00:16:13
ns1,183.3.202.108,ssh,7,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-02 00:16:13
ns1,221.194.57.246,ssh,5,CN,Hebei,Hebei,39.889702,115.275002,2016-02-02 00:16:13
ns1,185.130.5.179,ssh,2,LT,unknown,unknown,56.000000,24.000000,2016-02-02 00:16:13
ns1,89.163.148.90,ssh,2,DE,unknown,unknown,51.000000,9.000000,2016-02-02 00:16:13
ns1,113.195.145.70,ssh,2,CN,Jiangxi,Nanchang,28.549999,115.933296,2016-02-02 00:16:13
ns1,185.130.5.246,ssh,2,LT,unknown,unknown,56.000000,24.000000,2016-02-02 00:16:13
ns1,222.186.21.100,ssh,3,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-02 00:16:13
ns1,185.93.187.23,ssh,2,UA,unknown,unknown,50.450001,30.523300,2016-02-02 00:16:13
ns1,222.186.34.85,ssh,2,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-02 00:16:13
ns1,222.186.34.85,ssh,3,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-02 00:27:36
ns1,222.186.34.85,ssh,4,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-02 00:42:17
ns1,222.186.34.85,ssh,5,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-02 00:54:59
ns1,222.186.34.85,recidive,1,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-02 00:55:01
